epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,490.471,0.54557,0.58016,0.34136,0.83337,0.96121,0.95322,0.97489,0.75181,0.96121,0.95322,0.97489,0.78042,0.88599,0.85412,0.46574,0.89698,0.0014258,0.0014258,0.0014258
31,505.102,0.52248,0.53373,0.33139,0.84082,0.94758,0.98718,0.99174,0.7921,0.94758,0.98718,0.99174,0.78689,0.78127,0.92328,0.45439,0.88141,0.001406,0.001406,0.001406
32,519.876,0.5004,0.53227,0.32234,0.83371,0.99877,1,0.995,0.77873,0.99877,1,0.995,0.80426,0.83741,0.83696,0.41681,0.87662,0.0013862,0.0013862,0.0013862
33,533.412,0.49247,0.53686,0.31012,0.82859,0.98613,1,0.995,0.7869,0.98613,1,0.995,0.81975,0.8075,0.80694,0.43391,0.8781,0.0013664,0.0013664,0.0013664
34,546.077,0.46288,0.53244,0.30355,0.80923,0.98663,1,0.99475,0.80406,0.98663,1,0.99475,0.80894,0.79528,0.83879,0.38651,0.87768,0.0013466,0.0013466,0.0013466
35,560.147,0.46023,0.5315,0.30091,0.81964,0.99913,1,0.995,0.8054,0.99913,1,0.995,0.80068,0.8358,0.89596,0.38931,0.88082,0.0013268,0.0013268,0.0013268
36,572.604,0.50373,0.51847,0.30847,0.81795,0.99926,1,0.995,0.79951,0.99926,1,0.995,0.81975,0.82975,0.86478,0.40692,0.87651,0.001307,0.001307,0.001307
37,585.304,0.45365,0.50065,0.30277,0.81984,0.99896,1,0.995,0.79857,0.99896,1,0.995,0.8058,0.78444,0.86621,0.39371,0.87157,0.0012872,0.0012872,0.0012872
38,598.104,0.44106,0.4881,0.28977,0.81776,0.9861,1,0.99487,0.79333,0.9861,1,0.99487,0.81096,0.79018,0.85689,0.38653,0.87298,0.0012674,0.0012674,0.0012674
39,610.264,0.41781,0.488,0.27257,0.81564,0.99872,1,0.995,0.8036,0.99872,1,0.995,0.82126,0.78167,0.81371,0.37341,0.87573,0.0012476,0.0012476,0.0012476
40,623.613,0.43976,0.4665,0.28549,0.80385,0.98304,1,0.99462,0.79854,0.98304,1,0.99462,0.81827,0.81604,0.91045,0.39345,0.87739,0.0012278,0.0012278,0.0012278
41,636.315,0.41686,0.48174,0.27169,0.7967,0.99492,0.98718,0.98945,0.80441,0.99492,0.98718,0.98945,0.81347,0.73987,0.87266,0.38314,0.87148,0.001208,0.001208,0.001208
42,649.275,0.39456,0.46492,0.26586,0.81377,0.98719,1,0.995,0.81868,0.98719,1,0.995,0.81815,0.74551,0.90672,0.36818,0.86084,0.0011882,0.0011882,0.0011882
43,662.379,0.39357,0.46779,0.27122,0.80953,1,0.99845,0.995,0.81493,1,0.99845,0.995,0.80743,0.7601,0.91571,0.38261,0.87195,0.0011684,0.0011684,0.0011684
