epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,513.825,0.65165,0.73602,0.4321,0.96198,0.95496,0.93457,0.98268,0.84886,0.95496,0.93457,0.98268,0.83335,0.61767,0.80735,0.43701,0.84234,0.000709809,0.000709809,0.000709809
31,530.802,0.63208,0.75518,0.408,0.93384,0.9497,0.98372,0.99425,0.8657,0.9497,0.98372,0.99425,0.86106,0.57838,0.78155,0.36597,0.84053,0.000676802,0.000676802,0.000676802
32,548.482,0.58539,0.70643,0.41807,0.93436,0.9645,0.95205,0.99058,0.85636,0.9645,0.95205,0.99058,0.8556,0.57697,0.7719,0.36822,0.82836,0.000643795,0.000643795,0.000643795
33,564.282,0.707,0.7366,0.46455,1.01785,0.93196,0.92781,0.9871,0.85456,0.93196,0.92781,0.9871,0.85745,0.59352,0.80328,0.40012,0.83494,0.000610789,0.000610789,0.000610789
34,581.512,0.59099,0.7546,0.39915,0.94697,0.93043,0.95578,0.99364,0.85177,0.93043,0.95578,0.99364,0.85609,0.57783,0.76207,0.39667,0.8293,0.000577782,0.000577782,0.000577782
35,598.173,0.57892,0.70953,0.4008,0.91879,0.97702,0.96064,0.9948,0.85863,0.97702,0.96064,0.9948,0.86781,0.6255,0.75866,0.35112,0.85197,0.000544776,0.000544776,0.000544776
36,615.475,0.59402,0.7031,0.38742,0.93971,0.92084,0.97959,0.99324,0.87942,0.92084,0.97959,0.99324,0.85733,0.58284,0.80889,0.37985,0.84707,0.000511769,0.000511769,0.000511769
37,632.666,0.543,0.64668,0.38557,0.92824,0.96055,0.97448,0.9946,0.85846,0.96055,0.97448,0.9946,0.87055,0.56239,0.78693,0.34008,0.82876,0.000478762,0.000478762,0.000478762
38,649.143,0.54435,0.69477,0.36967,0.91596,0.98953,0.99199,0.995,0.87757,0.98953,0.99199,0.995,0.86677,0.53566,0.74262,0.30349,0.81727,0.000445756,0.000445756,0.000445756
39,667.032,0.51831,0.66274,0.35646,0.89581,0.96036,0.98007,0.995,0.87727,0.96036,0.98007,0.995,0.86621,0.52637,0.73479,0.3351,0.81557,0.000412749,0.000412749,0.000412749
40,682.574,0.52311,0.67201,0.35743,0.92801,0.99362,1,0.995,0.89649,0.99362,1,0.995,0.87818,0.50111,0.73796,0.26907,0.81361,0.000379743,0.000379743,0.000379743
41,54.8184,0.46353,0.54585,0.31761,0.90381,0.04373,0.95251,0.04442,0.04062,0.04373,0.95251,0.04442,0.0401,nan,nan,nan,nan,0.000346736,0.000346736,0.000346736
42,70.8765,0.45663,0.53359,0.31471,0.91147,0.99026,0.99991,0.995,0.88676,0.99026,0.99991,0.995,0.88101,0.51867,0.82514,0.29069,0.81791,0.000313729,0.000313729,0.000313729
43,87.7494,0.45933,0.51678,0.3049,0.90425,0.99097,1,0.995,0.87626,0.99097,1,0.995,0.87699,0.52577,0.84625,0.27914,0.82206,0.000280723,0.000280723,0.000280723
44,103.765,0.43476,0.5109,0.29211,0.8914,0.98865,0.99828,0.995,0.87569,0.98865,0.99828,0.995,0.88896,0.52125,0.79096,0.28036,0.82101,0.000247716,0.000247716,0.000247716
45,120.087,0.45303,0.51354,0.30497,0.92399,0.9705,0.96743,0.9944,0.88935,0.9705,0.96743,0.9944,0.88435,0.50573,0.76169,0.31801,0.81039,0.00021471,0.00021471,0.00021471
46,136.86,0.41041,0.46678,0.2914,0.88554,0.98058,0.96192,0.9944,0.88883,0.98058,0.96192,0.9944,0.88524,0.51582,0.74561,0.30933,0.81108,0.000181703,0.000181703,0.000181703
47,154.881,0.41443,0.47655,0.28202,0.87054,0.98746,0.99824,0.995,0.88232,0.98746,0.99824,0.995,0.89585,0.5238,0.77837,0.29644,0.80849,0.000148696,0.000148696,0.000148696
48,171.527,0.40068,0.46952,0.27067,0.8756,0.9935,1,0.995,0.89613,0.9935,1,0.995,0.88205,0.50965,0.78382,0.2735,0.80744,0.00011569,0.00011569,0.00011569
49,188.204,0.39738,0.47148,0.26441,0.88773,0.99344,1,0.995,0.8909,0.99344,1,0.995,0.8822,0.49023,0.74825,0.2544,0.80101,8.26832e-05,8.26832e-05,8.26832e-05
50,204.381,0.40215,0.46655,0.27505,0.90969,0.99092,0.99893,0.995,0.89637,0.99092,0.99893,0.995,0.88767,0.48043,0.73238,0.25268,0.79488,4.96766e-05,4.96766e-05,4.96766e-05
